Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 22:51:36,2018-05-10 22:54:07,2m - 30.641s,FAILED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 22:51:36,2018-05-10 22:51:47,10.887s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:51:37,2018-05-10 22:51:40,3.266s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:51:40,2018-05-10 22:51:46,6.071s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:51:46,2018-05-10 22:51:46,0.222s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:51:46,2018-05-10 22:51:46,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:51:46,2018-05-10 22:51:46,0.095s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:51:46,2018-05-10 22:51:47,0.800s,PASSED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 22:51:47,2018-05-10 22:51:57,9.601s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:51:47,2018-05-10 22:51:49,2.052s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:51:49,2018-05-10 22:51:56,6.354s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:51:56,2018-05-10 22:51:56,0.169s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:51:56,2018-05-10 22:51:56,0.115s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:51:56,2018-05-10 22:51:56,0.104s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:51:56,2018-05-10 22:51:57,0.779s,PASSED
,,,,,,
Test Cases/Test password empty,Chrome 66.0.3359.139,,2018-05-10 22:51:57,2018-05-10 22:52:06,9.065s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:51:57,2018-05-10 22:51:59,2.135s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:51:59,2018-05-10 22:52:04,5.438s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:04,2018-05-10 22:52:05,0.144s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:05,2018-05-10 22:52:05,0.163s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:05,2018-05-10 22:52:05,0.125s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:05,2018-05-10 22:52:06,0.872s,PASSED
,,,,,,
Test Cases/Test password empty,Chrome 66.0.3359.139,,2018-05-10 22:52:06,2018-05-10 22:52:14,8.457s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:06,2018-05-10 22:52:08,2.109s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:08,2018-05-10 22:52:13,5.104s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:13,2018-05-10 22:52:13,0.186s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:13,2018-05-10 22:52:13,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:13,2018-05-10 22:52:13,0.108s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:13,2018-05-10 22:52:14,0.824s,PASSED
,,,,,,
Test Cases/Test admin check total transaction,Chrome 66.0.3359.139,,2018-05-10 22:52:14,2018-05-10 22:52:26,11.898s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:14,2018-05-10 22:52:16,2.112s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:16,2018-05-10 22:52:23,6.068s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:23,2018-05-10 22:52:23,0.174s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:23,2018-05-10 22:52:23,0.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:23,2018-05-10 22:52:23,0.134s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:23,2018-05-10 22:52:24,1.241s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:24,2018-05-10 22:52:25,0.692s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:25,2018-05-10 22:52:25,0.124s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:25,2018-05-10 22:52:25,0.087s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:25,2018-05-10 22:52:25,0.083s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:25,2018-05-10 22:52:25,0.068s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:25,2018-05-10 22:52:25,0.070s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:25,2018-05-10 22:52:26,0.811s,PASSED
,,,,,,
Test Cases/Test admin login,Chrome 66.0.3359.139,,2018-05-10 22:52:26,2018-05-10 22:52:36,10.053s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:26,2018-05-10 22:52:28,2.137s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:28,2018-05-10 22:52:33,5.010s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:33,2018-05-10 22:52:34,0.171s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:34,2018-05-10 22:52:34,0.132s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:34,2018-05-10 22:52:34,0.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:34,2018-05-10 22:52:35,1.183s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:35,2018-05-10 22:52:35,0.233s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:35,2018-05-10 22:52:36,0.893s,PASSED
,,,,,,
Test Cases/Test user change amount-edited,Chrome 66.0.3359.139,,2018-05-10 22:52:36,2018-05-10 22:52:46,9.399s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:36,2018-05-10 22:52:39,2.115s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:39,2018-05-10 22:52:44,5.041s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:44,0.152s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:44,0.128s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:44,0.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:45,1.164s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:45,0.143s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:45,0.114s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:45,0.103s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:46,0.097s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:46,2018-05-10 22:52:46,0.035s,FAILED
,,,,,,
Test Cases/Test user login,Chrome 66.0.3359.139,,2018-05-10 22:52:46,2018-05-10 22:52:57,11.142s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:46,2018-05-10 22:52:49,2.946s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:49,2018-05-10 22:52:54,5.234s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:54,2018-05-10 22:52:54,0.165s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:54,2018-05-10 22:52:54,0.188s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:54,2018-05-10 22:52:55,0.210s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:55,2018-05-10 22:52:56,1.221s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:56,2018-05-10 22:52:56,0.210s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:56,2018-05-10 22:52:57,0.819s,PASSED
,,,,,,
Test Cases/Test user logout,Chrome 66.0.3359.139,,2018-05-10 22:52:57,2018-05-10 22:53:07,9.866s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:57,2018-05-10 22:52:59,1.937s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:59,2018-05-10 22:53:04,5.107s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:04,0.160s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:04,0.127s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:04,0.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:06,1.193s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:06,2018-05-10 22:53:06,0.156s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:06,2018-05-10 22:53:07,0.888s,PASSED
,,,,,,
